swing,session,channel,n_samples,n_samples_last_250ms,n_samples_last_100ms,n_leverage,leverage_max_deg_per_ms,converged,on_bound,flat,boot_reps,boot_ok_frac,seed,pathological,delta_s,delta_ms,ci_delta_s,ci_delta_ms,tr_eff_s,resid_robust_deg,resid_med_abs_deg,loss,anchor_beta_deg,anchor_sigma_deg,anchor_weight,anchor_dt_ms,synth_rows_total
2026-06-11_Mark-Liversedge_Wrist_01__swing_0001,2026-06-11_Mark-Liversedge_Wrist_01,measured,92,33,14,10,1.62606,0,1,0,100,0,20260902,1,-0.1,-100,0,0,-0.132056,92.4384,109.397,1291.11,nan,nan,nan,nan,nan
2026-06-11_Mark-Liversedge_Wrist_01__swing_0001,2026-06-11_Mark-Liversedge_Wrist_01,measured+anchor,93,34,15,11,1.62606,0,1,0,100,0,20260903,1,-0.1,-100,0,0,-0.132056,92.1019,109.083,1265.3,-14.8255,5,2.56,0,nan
2026-06-11_Mark-Liversedge_Wrist_01__swing_0001,2026-06-11_Mark-Liversedge_Wrist_01,synth,191,60,24,18,1.62197,0,1,0,100,0,20260904,1,-0.1,-100,0,0,-0.132056,120.631,65.4885,1244.94,nan,nan,nan,nan,205
2026-06-11_Mark-Liversedge_Wrist_01__swing_0002,2026-06-11_Mark-Liversedge_Wrist_01,measured,142,32,14,10,1.62225,0,1,0,100,0.01,20260905,1,0.05204,52.04,0,0,0.0199838,35.2373,131.872,1721.66,nan,nan,nan,nan,nan
2026-06-11_Mark-Liversedge_Wrist_01__swing_0002,2026-06-11_Mark-Liversedge_Wrist_01,measured+anchor,143,33,15,11,1.62225,0,1,0,100,0.01,20260906,1,0.05204,52.04,0,0,0.0199838,39.1889,131.729,1695.32,100.816,5,2.56,0,nan
2026-06-11_Mark-Liversedge_Wrist_01__swing_0002,2026-06-11_Mark-Liversedge_Wrist_01,synth,312,60,24,17,1.62498,0,1,0,100,0,20260907,1,0.05204,52.04,0,0,0.0199838,112.938,133.034,1597.56,nan,nan,nan,nan,353
2026-06-11_Mark-Liversedge_Wrist_01__swing_0003,2026-06-11_Mark-Liversedge_Wrist_01,measured,81,30,11,9,1.62095,1,0,0,100,1,20260908,1,-0.0577,-57.7,0.018405,18.405,-0.0897562,126.653,136.538,1652.47,nan,nan,nan,nan,nan
2026-06-11_Mark-Liversedge_Wrist_01__swing_0003,2026-06-11_Mark-Liversedge_Wrist_01,measured+anchor,82,31,12,10,1.62095,1,0,0,100,1,20260909,1,-0.0577,-57.7,0.022592,22.592,-0.0897562,126.296,136.444,1607.81,35.673,5,2.56,0,nan
2026-06-11_Mark-Liversedge_Wrist_01__swing_0003,2026-06-11_Mark-Liversedge_Wrist_01,synth,172,60,24,18,1.62161,1,0,0,100,1,20260910,1,-0.03784,-37.84,0.0140495,14.0495,-0.0698962,144.304,103.253,1592.52,nan,nan,nan,nan,180
2026-06-11_Mark-Liversedge_Wrist_01__swing_0004,2026-06-11_Mark-Liversedge_Wrist_01,measured,147,26,6,6,1.62074,0,1,0,100,0,20260911,1,0.05204,52.04,0,0,0.0199838,6.77325,3.65897,64.6029,nan,nan,nan,nan,nan
2026-06-11_Mark-Liversedge_Wrist_01__swing_0004,2026-06-11_Mark-Liversedge_Wrist_01,measured+anchor,148,27,7,7,1.62074,0,1,0,100,0,20260912,1,0.05204,52.04,0,0,0.0199838,6.81019,3.69223,75.887,133.465,5,2.56,0,nan
2026-06-11_Mark-Liversedge_Wrist_01__swing_0004,2026-06-11_Mark-Liversedge_Wrist_01,synth,236,60,24,18,1.62445,0,1,0,100,0,20260913,1,0.05204,52.04,0,0,0.0199838,8.55037,4.957,117.442,nan,nan,nan,nan,265
2026-06-11_Mark-Liversedge_Wrist_01__swing_0005,2026-06-11_Mark-Liversedge_Wrist_01,measured,133,25,6,6,1.6231,0,1,0,100,0,20260914,1,0.05204,52.04,0,0,0.0199838,9.62233,6.60947,79.5023,nan,nan,nan,nan,nan
2026-06-11_Mark-Liversedge_Wrist_01__swing_0005,2026-06-11_Mark-Liversedge_Wrist_01,measured+anchor,134,26,7,7,1.6231,0,1,0,100,0,20260915,1,0.05204,52.04,0,0,0.0199838,9.74593,6.62448,93.4137,139.619,5,2.56,0,nan
2026-06-11_Mark-Liversedge_Wrist_01__swing_0005,2026-06-11_Mark-Liversedge_Wrist_01,synth,231,60,24,18,1.62621,0,1,0,100,0,20260916,1,0.05204,52.04,0,0,0.0199838,10.876,7.30966,130.827,nan,nan,nan,nan,262
2026-06-11_Mark-Liversedge_Wrist_01__swing_0006,2026-06-11_Mark-Liversedge_Wrist_01,measured,142,24,5,5,1.43503,0,1,0,100,0,20260917,1,0.05204,52.04,0,0,0.0199838,17.0047,8.04433,159.946,nan,nan,nan,nan,nan
2026-06-11_Mark-Liversedge_Wrist_01__swing_0006,2026-06-11_Mark-Liversedge_Wrist_01,measured+anchor,143,25,6,6,1.43503,0,1,0,100,0,20260918,1,0.05204,52.04,0,0,0.0199838,17.0069,8.07199,172.16,141.852,5,2.56,0,nan
2026-06-11_Mark-Liversedge_Wrist_01__swing_0006,2026-06-11_Mark-Liversedge_Wrist_01,synth,226,60,24,17,1.62901,0,1,0,100,0,20260919,1,0.05204,52.04,0,0,0.0199838,16.9868,9.58586,210.585,nan,nan,nan,nan,257
2026-06-11_Mark-Liversedge_Wrist_01__swing_0007,2026-06-11_Mark-Liversedge_Wrist_01,measured,128,19,0,0,0.00240325,0,1,1,100,0,20260920,1,0.05204,52.04,0.0027245,2.7245,0.0199838,51.8934,86.3652,1152.96,nan,nan,nan,nan,nan
2026-06-11_Mark-Liversedge_Wrist_01__swing_0007,2026-06-11_Mark-Liversedge_Wrist_01,measured+anchor,129,20,1,1,0.333748,0,1,0,100,0.01,20260921,1,0.05204,52.04,0,0,0.0199838,52.172,86.2127,1140.19,118.64,5,2.56,0,nan
2026-06-11_Mark-Liversedge_Wrist_01__swing_0007,2026-06-11_Mark-Liversedge_Wrist_01,synth,226,60,24,17,1.62902,0,1,0,100,0,20260922,1,0.05204,52.04,0,0,0.0199838,74.2543,82.2534,1001.64,nan,nan,nan,nan,257
2026-06-11_Mark-Liversedge_Wrist_01__swing_0008,2026-06-11_Mark-Liversedge_Wrist_01,measured,138,23,6,5,1.62177,0,1,0,100,0,20260923,1,0.05204,52.04,0,0,0.0199838,12.4376,39.1903,466.232,nan,nan,nan,nan,nan
2026-06-11_Mark-Liversedge_Wrist_01__swing_0008,2026-06-11_Mark-Liversedge_Wrist_01,measured+anchor,139,24,7,6,1.62177,1,0,0,100,0.55,20260924,1,0.01856,18.56,0.022708,22.708,-0.0134962,12.4271,39.5512,515.652,-172.927,5,2.56,0,nan
2026-06-11_Mark-Liversedge_Wrist_01__swing_0008,2026-06-11_Mark-Liversedge_Wrist_01,synth,250,60,24,17,1.62725,1,0,0,100,0.97,20260925,1,0.01382,13.82,0.01408,14.08,-0.0182362,16.1429,41.0353,534.131,nan,nan,nan,nan,275
2026-06-11_Mark-Liversedge_Wrist_01__swing_0009,2026-06-11_Mark-Liversedge_Wrist_01,measured,80,32,10,7,1.62277,0,1,0,100,0,20260926,1,-0.1,-100,0,0,-0.132056,137.976,150.057,1950.16,nan,nan,nan,nan,nan
2026-06-11_Mark-Liversedge_Wrist_01__swing_0009,2026-06-11_Mark-Liversedge_Wrist_01,measured+anchor,81,33,11,8,1.62277,0,1,0,100,0,20260927,1,-0.1,-100,0,0,-0.132056,137.236,150.542,1970.41,-165.862,5,2.56,0,nan
2026-06-11_Mark-Liversedge_Wrist_01__swing_0009,2026-06-11_Mark-Liversedge_Wrist_01,synth,165,60,24,17,1.62825,0,1,0,100,0,20260928,1,-0.1,-100,0,0,-0.132056,130.993,98.6716,1528.25,nan,nan,nan,nan,165
2026-07-03_Mark-Liversedge_Wrist_01__swing_0002,2026-07-03_Mark-Liversedge_Wrist_01,measured,156,26,5,5,1.54472,0,1,0,100,0,20260929,0,0.05204,52.04,0,0,0.0199838,8.53965,7.37559,71.671,nan,nan,nan,nan,nan
2026-07-03_Mark-Liversedge_Wrist_01__swing_0002,2026-07-03_Mark-Liversedge_Wrist_01,measured+anchor,157,27,6,6,1.54472,0,1,0,100,0,20260930,0,0.05204,52.04,0,0,0.0199838,8.84997,7.38931,83.7156,139.721,5,2.56,0,nan
2026-07-03_Mark-Liversedge_Wrist_01__swing_0002,2026-07-03_Mark-Liversedge_Wrist_01,synth,312,60,24,18,1.62353,0,1,0,100,0,20260931,0,0.05204,52.04,0,0,0.0199838,16.4351,8.59115,102.337,nan,nan,nan,nan,428
2026-07-03_Mark-Liversedge_Wrist_01__swing_0003,2026-07-03_Mark-Liversedge_Wrist_01,measured,135,26,3,2,0.44351,0,1,0,100,0,20260932,0,0.05204,52.04,0,0,0.0199838,19.5569,10.6493,161.944,nan,nan,nan,nan,nan
2026-07-03_Mark-Liversedge_Wrist_01__swing_0003,2026-07-03_Mark-Liversedge_Wrist_01,measured+anchor,136,27,4,3,0.44351,0,1,0,100,0,20260933,0,0.05204,52.04,0,0,0.0199838,20.2262,10.7079,176.582,148.439,5,2.56,0,nan
2026-07-03_Mark-Liversedge_Wrist_01__swing_0003,2026-07-03_Mark-Liversedge_Wrist_01,synth,249,60,24,18,1.6152,0,1,0,100,0,20260934,0,0.05204,52.04,0,0,0.0199838,27.6251,14.3901,214.933,nan,nan,nan,nan,279
2026-07-03_Mark-Liversedge_Wrist_01__swing_0004,2026-07-03_Mark-Liversedge_Wrist_01,measured,133,26,4,4,0.887729,0,1,0,100,0,20260935,0,0.05204,52.04,0,0,0.0199838,9.08245,5.60661,43.0753,nan,nan,nan,nan,nan
2026-07-03_Mark-Liversedge_Wrist_01__swing_0004,2026-07-03_Mark-Liversedge_Wrist_01,measured+anchor,134,27,5,5,0.887729,0,1,0,100,0,20260936,0,0.05204,52.04,0,0,0.0199838,8.9667,5.61581,54.1568,127.2,5,2.56,0,nan
