swing,session,channel,parametrisation,n_samples,n_samples_last_250ms,n_samples_last_100ms,converged,on_bound,bound_params,flat,flat_params,simplex_ok,boot_reps,boot_ok_frac,seed,pathological,b0,A,tc,wc,tr,wr,r,ci_b0,ci_A,ci_tc,ci_wc,ci_tr,ci_wr,ci_r,resid_robust_deg,resid_med_abs_deg,loss
2026-06-11_Mark-Liversedge_Wrist_01__swing_0001,2026-06-11_Mark-Liversedge_Wrist_01,tracker,P7,92,33,14,0,1,b0|A|wc|tr,0,,1,100,0,20260812,1,-90,300,-0.311272,0.002,-0.2,0.0646006,0.793239,1.26046,26.8878,0.206925,0.0567987,0.0311624,0.0313638,0.113467,21.8405,19.0344,703.748
2026-06-11_Mark-Liversedge_Wrist_01__swing_0001,2026-06-11_Mark-Liversedge_Wrist_01,tracker,P4,92,33,14,1,0,,0,,1,100,0.97,20260813,1,-10.302,62.5015,-0.701618,0.0888958,-0.104481,0.0158165,1.04104,nan,36.805,nan,nan,0.0378673,0.00806728,0.231319,97.938,106.382,1212.65
2026-06-11_Mark-Liversedge_Wrist_01__swing_0001,2026-06-11_Mark-Liversedge_Wrist_01,tracker,P3,92,33,14,1,0,,0,,1,100,1,20260814,1,-10.302,98.5573,-0.701618,0.0888958,-0.125799,0.0300118,1.07198,nan,nan,nan,nan,0.00316276,0.00245184,0.0333627,100.048,109.397,1241.6
2026-06-11_Mark-Liversedge_Wrist_01__swing_0002,2026-06-11_Mark-Liversedge_Wrist_01,tracker,P7,142,32,14,0,1,b0|wc|wr,0,,0,100,0,20260815,1,-90,225.644,-0.243089,0.002,-0.0324649,0.1,0.480434,0,50.0677,0.0454594,0.00105337,0.11,0.0494924,0.595912,39.4941,49.8344,595.377
2026-06-11_Mark-Liversedge_Wrist_01__swing_0002,2026-06-11_Mark-Liversedge_Wrist_01,tracker,P4,142,32,14,0,1,wr,1,r,1,100,0.45,20260816,1,-10.302,83.0193,-0.701618,0.0888958,0.014291,0.001,0.754737,nan,47.2631,nan,nan,0.00414821,0.0106899,0.415667,44.4193,130.161,1709.39
2026-06-11_Mark-Liversedge_Wrist_01__swing_0002,2026-06-11_Mark-Liversedge_Wrist_01,tracker,P3,142,32,14,0,0,,1,r,1,100,0.31,20260817,1,-10.302,98.5573,-0.701618,0.0888958,0.0185828,0.00133935,0.723153,nan,nan,nan,nan,0.0489702,0.0199198,0.419239,35.2373,131.872,1719.96
2026-06-11_Mark-Liversedge_Wrist_01__swing_0003,2026-06-11_Mark-Liversedge_Wrist_01,tracker,P7,81,30,11,0,1,b0|A|wc,0,,0,100,0,20260818,1,-90,300,-0.234479,0.002,-0.18904,0.0305121,0.572531,1.5374e-06,47.4863,0.00704365,4.07394e-11,0.0906135,0.0433965,0.198398,36.0777,32.1217,455.951
2026-06-11_Mark-Liversedge_Wrist_01__swing_0003,2026-06-11_Mark-Liversedge_Wrist_01,tracker,P4,81,30,11,0,1,A,1,tr|wr|r,1,100,0.12,20260819,1,-10.302,0,-0.701618,0.0888958,-0.0141904,0.0217682,0.884872,nan,18.6934,nan,nan,0.0212814,0.012833,0.236459,141.514,110.145,1366.05
2026-06-11_Mark-Liversedge_Wrist_01__swing_0003,2026-06-11_Mark-Liversedge_Wrist_01,tracker,P3,81,30,11,1,0,,0,,1,100,0.67,20260820,1,-10.302,98.5573,-0.701618,0.0888958,-0.0957615,0.0318581,0.634771,nan,nan,nan,nan,0.11,0.0380369,0.414504,130.27,136.538,1629.45
2026-06-11_Mark-Liversedge_Wrist_01__swing_0004,2026-06-11_Mark-Liversedge_Wrist_01,tracker,P7,147,26,6,0,1,tr,1,r,1,100,0.68,20260821,1,-4.55799,87.0998,-0.693071,0.0804818,0.0198758,0.00198255,0.75048,2.87069,8.71304,0.00935136,0.0166962,0.0127166,0.000889016,0.228073,5.60852,3.63276,58.7351
2026-06-11_Mark-Liversedge_Wrist_01__swing_0004,2026-06-11_Mark-Liversedge_Wrist_01,tracker,P4,147,26,6,0,0,,1,r,1,100,0.91,20260822,1,-10.302,94.0462,-0.701618,0.0888958,0.0174721,0.00150716,0.787078,nan,3.11225,nan,nan,0.00566558,0.00105509,0.244759,5.72821,3.89171,60.3502
2026-06-11_Mark-Liversedge_Wrist_01__swing_0004,2026-06-11_Mark-Liversedge_Wrist_01,tracker,P3,147,26,6,0,1,tr,1,r,1,100,0.56,20260823,1,-10.302,98.5573,-0.701618,0.0888958,0.0198908,0.00117212,0.693878,nan,nan,nan,nan,0.01079,0.000137675,0.106796,6.77325,3.65897,64.0163
2026-06-11_Mark-Liversedge_Wrist_01__swing_0005,2026-06-11_Mark-Liversedge_Wrist_01,tracker,P7,133,25,6,0,0,,1,r,1,100,0.68,20260824,1,-4.7422,90.3405,-0.699344,0.0919292,0.0014354,0.0014918,0.856052,46.8154,57.6005,0.0967686,0.0984959,0.022071,0.00261062,0.36051,6.94756,4.82601,75.2215
2026-06-11_Mark-Liversedge_Wrist_01__swing_0005,2026-06-11_Mark-Liversedge_Wrist_01,tracker,P4,133,25,6,0,0,,1,r,1,100,1,20260825,1,-10.302,96.5908,-0.701618,0.0888958,0.00692286,0.00216367,0.775002,nan,2.81031,nan,nan,0.012441,0.000908681,0.0943344,9.35258,6.76212,78.5661
