swing,fore_chi_max_deg,fore_n,fore_p05,fore_p95,fore_ratio_p95p05,lenpx_all_chi_max_deg,lenpx_all_max,lenpx_all_min,lenpx_all_n,lenpx_all_p05,lenpx_all_p95,lenpx_all_ratio_maxmin,lenpx_all_ratio_p95p05,lenpx_win_chi_max_deg,lenpx_win_max,lenpx_win_min,lenpx_win_n,lenpx_win_p05,lenpx_win_p95,lenpx_win_ratio_maxmin,lenpx_win_ratio_p95p05,spxmm_n,spxmm_p05,spxmm_p95,spxmm_ratio_p95p05
2026-07-05_Mark-Liversedge_Wrist_02__swing_0001,63.39746802372941,162,71.76736972497443,160.26706989050527,2.2331467699691063,57.68724202671222,312.7811551954331,150.1498705844797,254,154.2383571797642,288.54379212242293,2.0831263721899194,1.8707654658570194,57.239656580707006,312.7811551954331,152.73707414737243,164,158.4910601575585,292.89107244307434,2.0478404273584414,1.847997433747409,60,0.263946,0.401428,1.5208716934524487
2026-07-05_Mark-Liversedge_Wrist_02__swing_0002,63.52126101579689,162,71.551949523586,160.47870546311574,2.2428278548890748,51.67426497011124,382.1790799010922,185.22287425153613,260,229.57162005216233,370.19831242775643,2.0633470970874033,1.6125613102509861,54.674614959422456,382.1790799010922,185.22287425153613,170,216.73784168728724,374.8368384737895,2.0633470970874033,1.729448053721094,40,0.2043085,0.4013635,1.9644973165580482
2026-07-05_Mark-Liversedge_Wrist_02__swing_0003,66.51557110806422,162,62.83200155973818,157.67133944067223,2.5094113752012905,55.377946779127996,319.91412534552785,157.93443159608825,258,168.35974375605915,296.3242518401985,2.0256135543875384,1.7600659470565034,56.71446417592816,319.91412534552785,157.93443159608825,168,163.84762625146354,298.5497493788357,2.0256135543875384,1.82211824613583,59,0.278532,0.39093799999999995,1.403565838036563
2026-07-05_Mark-Liversedge_Wrist_02__swing_0004,62.20499805371767,163,74.32016258380344,159.37948223248762,2.144498567973008,61.01450932974351,365.373701760825,157.83091514576566,190,174.92036067692138,360.96708421351366,2.3149691644592063,2.0636081632613448,61.212949626574655,365.373701760825,157.83091514576566,183,173.9128594067957,361.1480330876875,2.3149691644592063,2.0766033881539157,44,0.27634749999999997,0.3707575,1.3416350790218838
2026-07-05_Mark-Liversedge_Wrist_02__swing_0005,64.263963469774,165,72.0370861805161,165.89778103281697,2.3029496309317325,55.30814387757996,400.44,188.98301264040057,256,202.66583690281743,356.0771833336089,2.118920607758342,1.7569669796116425,50.801619048546264,378.0609220444817,206.3066567855179,166,230.01303788586378,363.94041642869576,1.832519260091177,1.5822599439310432,68,0.2589195,0.396701,1.5321402984325243
2026-07-05_Mark-Liversedge_Wrist_02__swing_0006,63.982530468530825,163,69.87014778374409,159.2862583396467,2.2797469791055183,51.417710250541205,379.70411921456014,197.44,263,223.88549914855093,358.99913113827665,1.9231367464270672,1.6034943419898582,52.80229081703338,379.70411921456014,207.94215208578598,173,220.04838549960064,363.9766778793644,1.8260084134260293,1.654075657283225,50,0.27751,0.40648449999999997,1.464756225000901
2026-07-05_Mark-Liversedge_Wrist_02__swing_0007,63.15965995013788,163,72.72586113187604,161.0740106669655,2.214810634897606,53.048695915323606,337.70110963599967,150.44,261,183.9563397562402,306.01449057454124,2.2447561129752702,1.6635169572303938,54.634964001878906,337.70110963599967,173.19314616372068,171,180.8283911006661,312.42830228316154,1.9498526189758598,1.7277613342765106,59,0.28757400000000005,0.3838639999999999,1.3348355553700955
2026-07-05_Mark-Liversedge_Wrist_02__swing_0008,61.86259649720692,166,76.23046222654769,161.64643603679076,2.1204966009047297,57.64720692477492,317.44816660894503,143.27864611574128,259,151.55085602412134,283.20330537868324,2.215599987959885,1.8687014564510784,58.67205689187093,317.44816660894503,143.27864611574128,169,149.04277477553458,286.6561288173173,2.215599987959885,1.9233144930979373,60,0.2855765,0.39778349999999996,1.3929139827681898
2026-07-05_Mark-Liversedge_Wrist_02__swing_0009,61.169251502455786,167,77.69924104363497,161.1269025747082,2.0737255655331466,49.95960559785097,395.637268709966,222.90698565869258,216,249.03601157014398,387.10610487227854,1.7748984740915748,1.5544181840675098,50.68362032847533,395.637268709966,222.90698565869258,166,246.8002624226127,389.5193426600469,1.7748984740915748,1.5782776680887265,70,0.213407,0.39423449999999993,1.847336310430304
2026-07-05_Mark-Liversedge_Wrist_02__swing_0010,64.18380106391614,163,72.56821207104485,166.63744566172443,2.296287050569539,55.13937729602907,313.5203064018887,149.07964232319893,242,165.8609438919181,290.1786992472744,2.103039030119141,1.7495300125409083,56.63208872931881,313.5203064018887,149.07964232319893,178,161.00120045120306,292.72248648996873,2.103039030119141,1.818138533561359,55,0.258975,0.423443,1.6350728834829618
