swing,B2_diff_back,B2_diff_down,B6_ok,M1-plane_params,M1-plane_relerr,M2-plane/phase_params,M2-plane/phase_relerr,M3-cone_params,M3-cone_relerr,Rband_n,Rband_ratio,b1_median,b1_n,b1_p10,b1_p90,chi_back_deg,chi_down_deg,chi_fore_max,chi_perp_min,chi_rel_jitter,chi_rel_range,chi_shaft_max,delta_iota_deg,fore_R0_px,fore_jitter_deg,iota_back_deg,iota_down_deg,n_back,n_down,n_pre,node_back_deg,node_down_deg,psi3_jitter,psi3_min,psi3_range,psi_img_range,ratio_back,ratio_down,shoulder_chi_equiv_deg,shoulder_ratio
2026-07-05_Mark-Liversedge_Wrist_02__swing_0001,-4.7924666291287465,-3.244054828929219,True,A=285.9px iota=53.6deg node=4.0deg,0.06235118462873223,A=310.1px back:iota=32.8 node=139.7 down:iota=29.5 node=44.3 thru:iota=64.1 node=9.6,0.04042459449067488,"A=283.6px axis=(az 274,el -36) alpha=85.2deg",0.06997227905485523,60,1.9851691862066447,834.7877529724832,2,828.242246467179,841.3332594777874,43.07168243873433,34.466346216662345,63.02727110363804,0.3918766120213101,2.032506508978898,335.9242451954218,41.67089014253555,7.056924421872456,162.05602507785662,2.2903154751613997,38.27921580960558,31.222291387733126,171,28,36,-9.316014652720696,32.65312886234895,0.9385383997097527,23.071318181167975,42.277838101593254,79.96198014591835,0.785001145321181,0.8551626528193667,66.2773145593644,2.485643614808329
2026-07-05_Mark-Liversedge_Wrist_02__swing_0002,8.690546768421875,-26.77246882300207,True,A=318.2px iota=48.0deg node=146.9deg,0.126527029628944,A=297.2px back:iota=31.4 node=143.7 down:iota=30.7 node=21.4 thru:iota=59.4 node=18.3,0.059490093774027,"A=357.4px axis=(az 90,el -61) alpha=59.4deg",0.08926077856653117,40,1.9480262499376342,976.6160446122387,1,976.6160446122387,976.6160446122387,51.8136925111488,41.713440277859334,56.94288141603964,0.422168526054671,71.22533571437293,354.2621443090277,41.73041060496865,45.563267824713414,159.42396909662347,2.040547786813825,60.504239279570676,14.94097145485726,174,33,19,-40.64826615268959,78.55823989914205,0.9029136000428597,24.971571493115956,36.41672432500178,72.35535369618765,0.49235916167174637,0.9661919599964509,61.86659062953566,2.120773052586895
2026-07-05_Mark-Liversedge_Wrist_02__swing_0003,-4.885296058673589,-1.1542842338800874,True,A=287.2px iota=40.5deg node=162.3deg,0.04642134626984052,A=282.3px back:iota=1.0 node=148.8 down:iota=42.4 node=179.6 thru:iota=58.9 node=22.2,0.04673915598305448,"A=288.2px axis=(az 71,el 65) alpha=77.5deg",0.03934343189472916,59,1.709729822147873,985.4186694384612,5,784.0581555702379,995.6794235531079,46.53599953437367,22.915135320447046,59.25535623400215,0.4039497971467825,2.346493292295392,324.1065412998894,45.58621470276611,19.889852389133125,156.94368484487566,2.434273108203862,41.650703475700084,21.76085108656696,179,28,33,-2.2583057277719263,26.589355615450472,0.5977861130419946,23.825332754959053,47.44162695946831,87.44813794692277,0.7472102611818486,0.9287393573842152,66.82613724640912,2.541150265928447
2026-07-05_Mark-Liversedge_Wrist_02__swing_0004,-27.92814915436327,-12.860345691309178,True,A=276.9px iota=47.0deg node=8.6deg,0.040389772990218495,A=276.6px back:iota=1.0 node=152.8 down:iota=50.0 node=175.0 thru:iota=47.3 node=14.3,0.02582654710561444,"A=274.4px axis=(az 276,el -45) alpha=86.2deg",0.026955462334351726,44,1.514551904628899,905.7605741713204,3,796.2242090523544,915.9641466895401,53.31664564158538,45.860178172765636,65.70786588118253,0.4884187398881341,154.32125623918782,355.3806285370081,37.34086928863985,-7.611335994234345,160.07804216934804,1.4836709536556363,25.388496487222113,32.99983248145646,97,32,17,-43.75813983739454,-23.771463192681892,4.311878458094824,29.236702823168258,55.52657940979907,86.64423990647424,0.9034213937527805,0.8386721603302959,60.495856021007235,2.030512477582333
2026-07-05_Mark-Liversedge_Wrist_02__swing_0005,-1.4705502815825682,-27.00413956531804,True,A=284.9px iota=50.6deg node=177.8deg,0.053117438423405314,A=292.0px back:iota=43.6 node=161.6 down:iota=55.7 node=178.6 thru:iota=55.5 node=8.3,0.05673148567930031,"A=283.4px axis=(az 264,el 40) alpha=88.6deg",0.05656189631922614,68,1.8800929334245695,995.5463638352476,4,976.3283567156717,1013.6204833316369,51.084065855341805,40.66463724932176,64.89698101831814,0.39744632320778067,4.255001634640919,356.82004734308015,50.534697426424934,35.95301788975552,164.07669294728274,1.9087453162500587,49.61351557375924,13.660497684003717,172,25,36,-36.20431008494066,56.93729978532497,1.2006737199134836,23.418632573397858,45.55784033354506,89.57637853049457,0.6479402427998554,0.9717121760674572,62.96271132274743,2.1998798529069576
2026-07-05_Mark-Liversedge_Wrist_02__swing_0006,-7.903587328176776,-23.264906604756824,True,A=283.4px iota=43.4deg node=2.5deg,0.06339169183104712,A=325.6px back:iota=40.2 node=136.9 down:iota=38.9 node=33.8 thru:iota=58.7 node=10.7,0.07327525188439302,"A=649.8px axis=(az 3,el 88) alpha=23.5deg",0.07390357244898588,50,1.8815909264093167,939.112313095764,4,865.5421077809605,975.6425483765431,51.913183862344226,40.76803299270919,63.836737365703506,0.386751689462276,3.016073138160607,339.02956922366354,50.22537943168769,26.506470146215086,157.60568594775697,2.053279409183432,44.00959653416745,17.503126387952364,174,26,32,-36.124134290879624,-85.12910142314831,0.7675356949406211,22.752530418192972,51.213028962501696,93.0416374277612,0.719223441142179,0.9537005410868981,62.614953505270336,2.174063998955777
2026-07-05_Mark-Liversedge_Wrist_02__swing_0007,-9.512590158215573,6.073111629450395,True,A=278.8px iota=44.7deg node=2.0deg,0.04409956834278481,A=281.9px back:iota=1.0 node=154.4 down:iota=43.5 node=0.2 thru:iota=53.7 node=17.7,0.0391454374944118,"A=276.4px axis=(az 273,el -43) alpha=84.6deg",0.04531499780336908,59,1.6296657065547435,882.3696887811517,3,786.0132757670866,955.3381778782923,47.26592543676235,32.06780515924362,66.23855917807533,0.4623147728210736,1.5405618535277483,354.7756940144325,45.26292043983114,-0.3875815101472355,159.85200611206895,1.7937651722218675,37.75333527854678,38.140916788694014,178,26,32,-7.838935308903785,6.559480683057956,0.5287118783644047,27.53657672118115,50.689636259159016,91.66942178034674,0.7906539342616128,0.7864941758516418,60.46097573657771,2.0283307225716567
2026-07-05_Mark-Liversedge_Wrist_02__swing_0008,-7.627402451494994,-3.123140424582534,True,A=288.4px iota=44.6deg node=3.3deg,0.02457981791086769,A=295.6px back:iota=15.1 node=142.1 down:iota=60.3 node=177.1 thru:iota=51.1 node=12.2,0.03575977392771083,"A=286.7px axis=(az 274,el -46) alpha=88.0deg",0.02696592642975551,60,1.7402766133057956,943.8937419956954,3,942.9784897384458,958.1346937162028,42.30740185553897,21.312652524212652,60.3550837685798,0.35137035369425335,1.3117209184831324,334.33236981816674,40.939093537528606,16.490487304413858,163.36242101336305,1.9462820126309737,34.679999404043976,18.189512099630118,175,27,34,-4.216893225397371,15.182684517578082,0.811765736291683,20.571154992552646,43.092608503401394,76.4418842577667,0.8223427128980999,0.9500292080140473,64.05397352806553,2.2855874722232397
2026-07-05_Mark-Liversedge_Wrist_02__swing_0009,-21.81472972747664,-23.888209338831693,True,A=290.2px iota=55.4deg node=0.4deg,0.042985133118447635,A=292.4px back:iota=1.0 node=144.3 down:iota=46.0 node=179.7 thru:iota=58.5 node=6.8,0.02893086271056728,"A=288.4px axis=(az 269,el -35) alpha=89.0deg",0.04295957853818755,70,2.099708367396661,952.1416246708217,7,891.7487136774757,972.7822959960621,50.246484617556995,39.397414089826604,62.81727769522214,0.39772817927186965,1.1750677444193514,324.31920660998406,43.47111528538038,12.922550139085446,160.4959379235472,2.066043434942535,28.431754890080356,15.50920475099491,138,25,36,-51.36016657648181,79.25235137765156,0.7453679156685205,23.43623260614325,106.27437729427953,147.8319932441634,0.8793848338182921,0.9635875080700165,67.83735088475282,2.650852491357243
2026-07-05_Mark-Liversedge_Wrist_02__swing_0010,-2.7129698639401028,-16.947087586362834,True,A=365.4px iota=46.7deg node=125.6deg,0.06731800871273917,A=328.5px back:iota=38.9 node=141.0 down:iota=43.8 node=147.5 thru:iota=63.8 node=9.9,0.09424861382345226,"A=367.1px axis=(az 84,el -74) alpha=53.8deg",0.055404584473046165,55,1.7722197435055047,877.8148816337485,4,835.8004776308827,935.6466400275134,45.40133191513293,41.4529150095792,63.9838831292468,0.3572972808723431,2.6168524575058143,338.55100702268993,49.05465880459108,18.18253462797646,167.76739356000456,2.221564878142267,42.688362051192826,24.505827423216367,149,34,32,-17.902363865938383,7.498141259041347,0.8105658948545678,20.934305271505067,35.07327425246459,70.23437175734477,0.7350523281365638,0.9099190886650337,65.31338915250316,2.3943220595817922
