swing,date,pathological,iota_back_deg,iota_down_deg,delta_deg,node_back_deg,node_down_deg,n_back,n_down,conic_resid_back,conic_resid_down,split_half_back_deg,split_half_down_deg
2026-06-11_Mark-Liversedge_Wrist_01__swing_0007,2026-06-11,1,36.09,71.66,-35.56,69.08,-60.42,85,58,0.0206,0.0318,3.4806555774978776,6.296120377226686
2026-07-03_Mark-Liversedge_Wrist_01__swing_0004,2026-07-03,0,42.02,45.96,-3.94,-64.24,16.22,105,47,0.0312,0.0316,0.6448984850189845,1.0559504619558524
2026-07-03_Mark-Liversedge_Wrist_01__swing_0005,2026-07-03,0,42.42,33.75,8.67,-38.99,38.23,203,38,0.0534,0.0046,4.150822330931206,1.038554616795608
2026-07-03_Mark-Liversedge_Wrist_01__swing_0007,2026-07-03,0,26.1,43.22,-17.12,-58.11,57.52,171,42,0.0282,0.0067,0.37898742432831156,2.634442714270918
2026-07-03_Mark-Liversedge_Wrist_01__swing_0008,2026-07-03,0,33.97,65.07,-31.1,-85.93,-40.14,170,43,0.0363,0.0139,0.09346633114605396,6.240399507314351
2026-07-03_Mark-Liversedge_Wrist_01__swing_0010,2026-07-03,0,34.26,26.81,7.45,-57.93,-4.26,176,38,0.053,0.0043,0.13663216087197583,4.935259624260336
2026-07-03_Mark-Liversedge_Wrist_01__swing_0011,2026-07-03,0,28.93,27.01,1.92,65.95,-24.07,120,36,0.0397,0.0106,1.3064917560609715,7.390914446550841
2026-07-04_Mark-Liversedge_Wrist_01__swing_0002,2026-07-04,1,29.58,45.02,-15.44,-55.49,16.21,100,42,0.0365,0.0148,1.65496666371126,0.9705881437513639
2026-07-04_Mark-Liversedge_Wrist_01__swing_0003,2026-07-04,1,27.22,58.45,-31.23,-61.16,47.92,113,42,0.0332,0.0271,1.2426693550370516,3.2796378708480987
2026-07-04_Mark-Liversedge_Wrist_01__swing_0005,2026-07-04,1,23.26,81.72,-58.46,-59.98,53.3,116,40,0.0327,0.0334,0.2453662931688534,
2026-07-04_Mark-Liversedge_Wrist_01__swing_0006,2026-07-04,1,82.89,36.3,46.59,48.7,86.52,64,177,0.0336,0.0672,4.294362452544988,0.2228692100583629
2026-07-04_Mark-Liversedge_Wrist_01__swing_0009,2026-07-04,1,27.94,45.0,-17.07,-37.58,14.85,111,41,0.0691,0.0158,2.4652542388788277,1.7155201018594752
2026-07-04_Mark-Liversedge_Wrist_01__swing_0010,2026-07-04,1,89.03,32.3,56.74,-34.1,87.7,39,202,0.0008,0.0707,0.0019278848973272034,0.46758694242507204
2026-07-04_Mark-Liversedge_Wrist_01__swing_0011,2026-07-04,1,26.38,44.31,-17.92,-14.33,-13.11,125,42,0.0655,0.0092,0.0315316399541814,2.814739678324152
2026-07-04_Mark-Liversedge_Wrist_01__swing_0015,2026-07-04,1,17.46,50.93,-33.47,-8.14,24.91,114,37,0.0436,0.0084,0.5273459183413003,0.5238375498721339
2026-07-05_Mark-Liversedge_Wrist_02__swing_0001,2026-07-05,0,38.28,31.22,7.06,-9.32,32.65,171,28,0.0506,0.0084,0.25859171601268827,0.13250950052455934
2026-07-05_Mark-Liversedge_Wrist_02__swing_0002,2026-07-05,0,60.5,14.94,45.56,-40.65,78.56,174,33,0.0511,0.0039,1.0383704637522655,0.26248618985795247
2026-07-05_Mark-Liversedge_Wrist_02__swing_0003,2026-07-05,0,41.65,21.76,19.89,-2.26,26.59,179,28,0.0492,0.0048,0.3166195819238311,0.6279740431850556
2026-07-05_Mark-Liversedge_Wrist_02__swing_0004,2026-07-05,0,25.39,33.0,-7.61,-43.76,-23.77,97,32,0.0428,0.0189,3.9225298834598377,1.4469240752170194
2026-07-05_Mark-Liversedge_Wrist_02__swing_0005,2026-07-05,0,49.61,13.66,35.95,-36.2,56.94,172,25,0.048,0.0052,2.5494506096907728,0.6060956478729782
2026-07-05_Mark-Liversedge_Wrist_02__swing_0006,2026-07-05,0,44.01,17.5,26.51,-36.12,-85.13,174,26,0.0457,0.0071,0.3598168339101804,0.6423324875181251
2026-07-05_Mark-Liversedge_Wrist_02__swing_0007,2026-07-05,0,37.75,38.14,-0.39,-7.84,6.56,178,26,0.0365,0.0084,0.2678682487558959,0.621242096759282
2026-07-05_Mark-Liversedge_Wrist_02__swing_0008,2026-07-05,0,34.68,18.19,16.49,-4.22,15.18,175,27,0.0369,0.0033,1.9069774462982068,0.11163590813327318
2026-07-05_Mark-Liversedge_Wrist_02__swing_0009,2026-07-05,0,28.43,15.51,12.92,-51.36,79.25,138,25,0.0423,0.004,1.4434257958722831,0.21654792059686123
2026-07-05_Mark-Liversedge_Wrist_02__swing_0010,2026-07-05,0,42.69,24.51,18.18,-17.9,7.5,149,34,0.0437,0.0229,0.4229721125900028,9.23750719045043
2026-07-08_Mark-Liversedge_Wrist_01__swing_0002,2026-07-08,0,36.86,13.65,23.21,-13.78,-86.77,121,40,0.045,0.0153,0.31041536260512004,2.6035286946017724
2026-07-08_Mark-Liversedge_Wrist_01__swing_0007,2026-07-08,0,33.87,64.71,-30.84,-72.89,77.01,117,39,0.041,0.0791,0.3039879919204793,37.21861194440649
2026-07-09_Mark-Liversedge_Wrist_01__swing_0001,2026-07-09,0,28.36,33.59,-5.23,-8.42,16.62,66,30,0.0164,0.0086,0.3956385721845379,1.4754417722786002
2026-07-09_Mark-Liversedge_Wrist_01__swing_0002,2026-07-09,0,38.07,32.26,5.81,-24.7,38.85,67,21,0.0544,0.0144,0.6166437086913845,
2026-07-09_Mark-Liversedge_Wrist_01__swing_0003,2026-07-09,0,29.92,39.39,-9.47,-5.35,21.03,67,27,0.021,0.0112,0.052222620535467,0.6212869869072648
2026-07-09_Mark-Liversedge_Wrist_01__swing_0004,2026-07-09,0,33.16,36.18,-3.02,-24.89,27.4,62,24,0.0624,0.0068,8.434781369069846,0.6846754304557052
2026-07-09_Mark-Liversedge_Wrist_01__swing_0005,2026-07-09,0,20.97,27.63,-6.66,-22.75,43.09,66,29,0.007,0.0074,0.882546684020376,1.0930195181189113
2026-07-09_Mark-Liversedge_Wrist_01__swing_0006,2026-07-09,0,43.64,34.73,8.92,-24.2,24.37,56,25,0.0595,0.0093,2.6233536003847604,0.04263359781158016
