swing,band,ray,truth_labels,head_max_dpx,exact_timebase
2026-07-05_Mark-Liversedge_Wrist_02__swing_0001,60,48,121,53.17487050264052,True
2026-07-05_Mark-Liversedge_Wrist_02__swing_0002,40,49,40,5.684341886080802e-14,True
2026-07-05_Mark-Liversedge_Wrist_02__swing_0003,59,62,59,1.1368683772161603e-13,True
2026-07-05_Mark-Liversedge_Wrist_02__swing_0004,44,48,44,1.1368683772161603e-13,True
2026-07-05_Mark-Liversedge_Wrist_02__swing_0005,68,34,68,1.1368683772161603e-13,True
2026-07-05_Mark-Liversedge_Wrist_02__swing_0006,50,56,50,1.1368683772161603e-13,True
2026-07-05_Mark-Liversedge_Wrist_02__swing_0007,59,39,59,1.1368683772161603e-13,True
2026-07-05_Mark-Liversedge_Wrist_02__swing_0008,60,31,60,1.1368683772161603e-13,True
2026-07-05_Mark-Liversedge_Wrist_02__swing_0009,70,41,70,1.1368683772161603e-13,True
2026-07-05_Mark-Liversedge_Wrist_02__swing_0010,55,60,55,1.1368683772161603e-13,True
