swing,segment,n,median_deg,p90_deg,max_deg,n_pose,lead_left
2026-07-05_Mark-Liversedge_Wrist_02__swing_0001,backswing,47,8.345083886210205,48.81020161547565,91.12818584880495,215,True
2026-07-05_Mark-Liversedge_Wrist_02__swing_0001,downswing,16,10.277456928156539,31.30869890964209,68.67012876699812,215,True
2026-07-05_Mark-Liversedge_Wrist_02__swing_0001,through,45,17.47511642664756,25.834885529466842,29.745513307005666,215,True
2026-07-05_Mark-Liversedge_Wrist_02__swing_0001,all,108,13.736729179166502,28.521613908589337,91.12818584880495,215,True
2026-07-05_Mark-Liversedge_Wrist_02__swing_0002,backswing,36,8.95042149126509,46.88454309465189,61.44724541793863,215,True
2026-07-05_Mark-Liversedge_Wrist_02__swing_0002,downswing,11,8.676081850570768,49.352128911915145,50.09728113721047,215,True
2026-07-05_Mark-Liversedge_Wrist_02__swing_0002,through,42,14.148876541699678,27.793095024551306,42.352279095481975,215,True
2026-07-05_Mark-Liversedge_Wrist_02__swing_0002,all,89,11.713870304936165,40.332736862983126,61.44724541793863,215,True
2026-07-05_Mark-Liversedge_Wrist_02__swing_0003,backswing,55,6.870994860898691,39.30684677062696,56.058892933562845,215,True
2026-07-05_Mark-Liversedge_Wrist_02__swing_0003,downswing,20,36.34715251894414,78.03299580825762,86.60781125940929,215,True
2026-07-05_Mark-Liversedge_Wrist_02__swing_0003,through,46,16.659987373318387,35.266047616019364,39.84982412685383,215,True
2026-07-05_Mark-Liversedge_Wrist_02__swing_0003,all,121,16.54674896475734,47.36159381558423,86.60781125940929,215,True
2026-07-05_Mark-Liversedge_Wrist_02__swing_0004,backswing,23,7.591816526400237,54.60689229598129,67.50592909004786,205,True
2026-07-05_Mark-Liversedge_Wrist_02__swing_0004,downswing,20,26.82937174306136,54.36760207040026,89.29971504287522,205,True
2026-07-05_Mark-Liversedge_Wrist_02__swing_0004,through,49,19.146415131866064,38.45921060388301,50.81882751956991,205,True
2026-07-05_Mark-Liversedge_Wrist_02__swing_0004,all,92,19.196140797935115,50.513787311286585,89.29971504287522,205,True
2026-07-05_Mark-Liversedge_Wrist_02__swing_0005,backswing,40,7.19787641083775,73.5660627741472,81.15654642620484,217,True
2026-07-05_Mark-Liversedge_Wrist_02__swing_0005,downswing,13,21.16823090817877,72.80995439229207,79.91892611721448,217,True
2026-07-05_Mark-Liversedge_Wrist_02__swing_0005,through,49,14.984551805017219,24.558566220957438,28.199373298551933,217,True
2026-07-05_Mark-Liversedge_Wrist_02__swing_0005,all,102,11.344951025170047,36.69926579338241,81.15654642620484,217,True
2026-07-05_Mark-Liversedge_Wrist_02__swing_0006,backswing,43,17.830270038369576,58.93086920066721,92.09315819623191,217,True
2026-07-05_Mark-Liversedge_Wrist_02__swing_0006,downswing,21,12.340895164178619,59.908003674146414,63.39431316966329,217,True
2026-07-05_Mark-Liversedge_Wrist_02__swing_0006,through,42,11.839909544888286,31.847208625876753,42.262209225475715,217,True
2026-07-05_Mark-Liversedge_Wrist_02__swing_0006,all,106,13.027657965355473,55.71320465791928,92.09315819623191,217,True
2026-07-05_Mark-Liversedge_Wrist_02__swing_0007,backswing,33,4.37958098569581,19.190086301582483,33.9613066890264,215,True
2026-07-05_Mark-Liversedge_Wrist_02__swing_0007,downswing,22,16.883308879646847,37.67763353149237,56.988997388809764,215,True
2026-07-05_Mark-Liversedge_Wrist_02__swing_0007,through,43,23.733986455634977,36.14150423524921,45.10714723559295,215,True
2026-07-05_Mark-Liversedge_Wrist_02__swing_0007,all,98,17.514477592999242,33.54007244456371,56.988997388809764,215,True
2026-07-05_Mark-Liversedge_Wrist_02__swing_0008,backswing,39,5.801322002208508,23.116640875181297,28.48033522801734,223,True
2026-07-05_Mark-Liversedge_Wrist_02__swing_0008,downswing,10,14.675327675564063,27.29407077656815,79.77329380124274,223,True
2026-07-05_Mark-Liversedge_Wrist_02__swing_0008,through,41,9.053431583059137,16.60391112001281,22.833616915182347,223,True
2026-07-05_Mark-Liversedge_Wrist_02__swing_0008,all,90,7.61626850031567,21.5310465778209,79.77329380124274,223,True
2026-07-05_Mark-Liversedge_Wrist_02__swing_0009,backswing,51,5.068127396194683,47.74650738250682,81.08794290701604,217,True
2026-07-05_Mark-Liversedge_Wrist_02__swing_0009,downswing,12,54.932449669135224,73.47656397404987,74.75000706464402,217,True
2026-07-05_Mark-Liversedge_Wrist_02__swing_0009,through,48,20.86439085640437,34.96263328446298,44.83367980143271,217,True
2026-07-05_Mark-Liversedge_Wrist_02__swing_0009,all,111,17.78605051147281,47.74650738250682,81.08794290701604,217,True
2026-07-05_Mark-Liversedge_Wrist_02__swing_0010,backswing,48,6.485733947734957,27.97268670490909,46.91897512240166,205,True
2026-07-05_Mark-Liversedge_Wrist_02__swing_0010,downswing,12,14.108686196593851,17.46835989487729,82.87718444929749,205,True
2026-07-05_Mark-Liversedge_Wrist_02__swing_0010,through,38,19.721502758053347,24.15067626722442,27.142184659867013,205,True
2026-07-05_Mark-Liversedge_Wrist_02__swing_0010,all,115,9.067425459080368,24.362714558543168,82.87718444929749,205,True
