swing,source,segment,n,median_deg,p90_deg
2026-07-05_Mark-Liversedge_Wrist_02__swing_0001,anchors,backswing,200,0.09184394521238204,6.673197909457141
2026-07-05_Mark-Liversedge_Wrist_02__swing_0001,anchors,downswing,37,1.9190585858469547,19.974785049578443
2026-07-05_Mark-Liversedge_Wrist_02__swing_0001,production,backswing,37,3.7054427658161444,16.048253026089636
2026-07-05_Mark-Liversedge_Wrist_02__swing_0001,production,downswing,37,2.071154058014855,6.347900053817424
2026-07-05_Mark-Liversedge_Wrist_02__swing_0002,anchors,backswing,199,0.12679653573719918,10.867843393693057
2026-07-05_Mark-Liversedge_Wrist_02__swing_0002,anchors,downswing,38,7.449826337402868,22.618466292203074
2026-07-05_Mark-Liversedge_Wrist_02__swing_0002,production,backswing,35,1.4515264503712615,17.471505249159332
2026-07-05_Mark-Liversedge_Wrist_02__swing_0002,production,downswing,38,1.3889414896947159,11.66298389572322
2026-07-05_Mark-Liversedge_Wrist_02__swing_0003,anchors,backswing,201,0.08462056629390702,4.201060372196196
2026-07-05_Mark-Liversedge_Wrist_02__swing_0003,anchors,downswing,36,4.624882905376509,47.532337375273016
2026-07-05_Mark-Liversedge_Wrist_02__swing_0003,production,backswing,37,3.7021173285115196,12.153258132247156
2026-07-05_Mark-Liversedge_Wrist_02__swing_0003,production,downswing,36,1.7236064628734482,18.46143512236108
2026-07-05_Mark-Liversedge_Wrist_02__swing_0004,anchors,backswing,118,1.0963296862126413,16.515475953345295
2026-07-05_Mark-Liversedge_Wrist_02__swing_0004,anchors,downswing,36,4.125181056179898,23.703404562713985
2026-07-05_Mark-Liversedge_Wrist_02__swing_0004,production,backswing,37,3.570283393974023,10.524702467314283
2026-07-05_Mark-Liversedge_Wrist_02__swing_0004,production,downswing,36,1.5327540749719049,16.73244949751154
2026-07-05_Mark-Liversedge_Wrist_02__swing_0005,anchors,backswing,201,0.10012046049403978,7.019232435356798
2026-07-05_Mark-Liversedge_Wrist_02__swing_0005,anchors,downswing,36,3.4699009220797734,11.518716472925846
2026-07-05_Mark-Liversedge_Wrist_02__swing_0005,production,backswing,37,1.8766063349070237,11.627080986248574
2026-07-05_Mark-Liversedge_Wrist_02__swing_0005,production,downswing,36,3.2488483835799826,14.016613070963004
2026-07-05_Mark-Liversedge_Wrist_02__swing_0006,anchors,backswing,201,0.1638229118733534,8.24930760757465
2026-07-05_Mark-Liversedge_Wrist_02__swing_0006,anchors,downswing,36,3.557850969484633,19.201547831719296
2026-07-05_Mark-Liversedge_Wrist_02__swing_0006,production,backswing,37,3.292646124098553,17.851636723209353
2026-07-05_Mark-Liversedge_Wrist_02__swing_0006,production,downswing,36,1.3546491015614635,10.123361637839224
2026-07-05_Mark-Liversedge_Wrist_02__swing_0007,anchors,backswing,199,0.10659258496090729,5.264554076245329
2026-07-05_Mark-Liversedge_Wrist_02__swing_0007,anchors,downswing,38,2.9016060917320488,19.059909390965295
2026-07-05_Mark-Liversedge_Wrist_02__swing_0007,production,backswing,35,1.7047074028595262,7.609474030762284
2026-07-05_Mark-Liversedge_Wrist_02__swing_0007,production,downswing,38,1.86595749240675,8.821105352419004
2026-07-05_Mark-Liversedge_Wrist_02__swing_0008,anchors,backswing,202,0.07071299526156594,3.8628019876113457
2026-07-05_Mark-Liversedge_Wrist_02__swing_0008,anchors,downswing,34,2.2738114618723557,23.564218516402153
2026-07-05_Mark-Liversedge_Wrist_02__swing_0008,production,backswing,38,2.974392191830731,12.303845615236114
2026-07-05_Mark-Liversedge_Wrist_02__swing_0008,production,downswing,35,1.4476346746718889,2.9880292890278723
2026-07-05_Mark-Liversedge_Wrist_02__swing_0009,anchors,backswing,161,0.2913056658090625,6.461361532221076
2026-07-05_Mark-Liversedge_Wrist_02__swing_0009,anchors,downswing,36,2.896549857460883,28.571914500372202
2026-07-05_Mark-Liversedge_Wrist_02__swing_0009,production,backswing,37,2.4102402219508576,12.236320316154458
2026-07-05_Mark-Liversedge_Wrist_02__swing_0009,production,downswing,36,1.8487867602182462,11.003307493708363
2026-07-05_Mark-Liversedge_Wrist_02__swing_0010,anchors,backswing,175,0.17074802101618047,9.289688254772587
2026-07-05_Mark-Liversedge_Wrist_02__swing_0010,anchors,downswing,36,3.9843336037803567,26.992857849738826
2026-07-05_Mark-Liversedge_Wrist_02__swing_0010,production,backswing,37,3.5622042515492467,15.408861700551018
2026-07-05_Mark-Liversedge_Wrist_02__swing_0010,production,downswing,36,2.1118971020685677,16.707837955538082
