form,axis,knot_x,centre_deg,sigma_deg
F0,s,0.000,8.00,8.00
F0,s,0.150,27.00,15.00
F0,s,0.350,70.00,20.00
F0,s,0.500,92.00,22.00
F0,s,0.600,100.00,30.00
F0,s,0.800,47.00,25.00
F0,s,0.900,7.00,10.00
F0,s,0.950,-27.00,20.00
F0,s,1.000,-95.00,30.00
F1,s,0.000,-22.28,18.74
F1,s,0.124,3.19,19.64
F1,s,0.239,31.62,35.38
F1,s,0.344,71.83,27.16
F1,s,0.441,81.15,8.79
F1,s,0.528,70.39,19.44
F1,s,0.606,85.51,13.69
F1,s,0.675,96.48,12.82
F1,s,0.735,106.39,7.68
F1,s,0.785,94.37,29.27
F1,s,0.827,51.67,108.26
F1,s,0.859,37.39,86.71
F1,s,0.882,23.77,39.24
F1,s,0.895,33.27,25.59
F1,s,0.900,28.16,55.96
F2,t,-1.100,-13.74,11.97
F2,t,-0.948,-6.27,7.74
F2,t,-0.808,15.48,4.37
F2,t,-0.679,39.04,5.78
F2,t,-0.561,76.17,6.60
F2,t,-0.455,85.72,5.81
F2,t,-0.359,81.12,8.13
F2,t,-0.275,83.05,8.42
F2,t,-0.202,89.68,8.79
F2,t,-0.140,98.87,10.54
F2,t,-0.090,99.59,15.10
F2,t,-0.051,90.05,34.37
F2,t,-0.022,51.65,53.35
F2,t,-0.006,18.17,53.93
F2,t,-0.000,10.10,50.92
F3,t,-1.100,-7.75,7.00
F3,t,-0.948,-4.07,5.70
F3,t,-0.808,14.96,5.15
F3,t,-0.679,38.22,7.39
F3,t,-0.561,76.41,6.89
F3,t,-0.455,83.24,8.36
F3,t,-0.359,79.10,12.96
F3,t,-0.275,84.04,6.70
F3,t,-0.202,89.77,8.79
F3,t,-0.140,100.30,10.47
F3,t,-0.090,100.67,15.00
F3,t,-0.051,89.60,45.81
F3,t,-0.022,55.50,54.51
F3,t,-0.006,22.10,56.46
F3,t,-0.000,11.26,53.51
F4,t,-1.100,-7.75,7.00
F4,t,-0.948,-4.07,5.70
F4,t,-0.808,14.96,5.15
F4,t,-0.679,38.22,7.39
F4,t,-0.561,76.41,6.89
F4,t,-0.455,81.18,8.36
F4,t,-0.359,81.18,12.96
F4,t,-0.275,84.04,6.70
F4,t,-0.202,89.77,8.79
F4,t,-0.140,100.30,10.47
F4,t,-0.090,100.67,15.00
F4,t,-0.051,89.60,45.81
F4,t,-0.022,55.50,54.51
F4,t,-0.006,22.10,56.46
F4,t,-0.000,0.00,53.51
F5,t,-1.100,-9.27,8.71
F5,t,-1.021,-7.74,7.03
F5,t,-0.943,-4.22,7.58
F5,t,-0.864,3.32,5.24
F5,t,-0.786,17.28,5.24
F5,t,-0.707,37.47,5.74
F5,t,-0.629,58.18,5.83
F5,t,-0.550,73.10,8.78
F5,t,-0.471,81.37,6.84
F5,t,-0.393,85.31,8.94
F5,t,-0.314,87.04,8.28
F5,t,-0.236,87.78,8.73
F5,t,-0.157,88.09,14.02
F5,t,-0.079,87.09,18.85
F5,t,0.000,19.16,58.30
